general physician,pain on swallowing,3
general physician,piles,3.5
general physician,problem swallowing,4
general physician,red tongue,5
general physician,restlessness of fingers,3
general physician,scabies,3
general physician,short fourth finger,3.5
general physician,smooth tongue,3.5
general physician,sneeze,2
general physician,sneezing,2
general physician,sore mouth,4
general physician,stagnation of food while swallowing,5
general physician,stomach ache,3.5
general physician,suppressed mouth,4
general physician,swelling armpit,3
general physician,swelling in forerunner,1.5
general physician,swelling in shin,2
general physician,swelling in thighs,2
general physician,swelling of fingers,3
general physician,swelling of lips,1
general physician,swollen glands,3
general physician,swollen lips,1
general physician,swollen thighs,3
general physician,thyroid disorder,3
general physician,torn tongue,1.5
general physician,unusually round face,3
general physician,urine infection,3
general physician,vomiting,3
general physician,weak thighs,4
general physician,weak wrists,3
general physician,weakness,5
general physician,weakness in hands,2
general physician,weakness in thighs,1.5
general physician,weakness in wrists,2
general physician,weakness of limbs,2
general physician,white spots inside mouth,4
general physician,white spots on tongue,4
general physician,nose watering,4
gynecologist,abortion,4
gynecologist,delayed periods,4
gynecologist,fibroids,5
gynecologist,gastroenteritis in pregnancy,5
gynecologist,heavy periods,4
gynecologist,infertility,5
gynecologist,irregular cycles,5
gynecologist,irritability,5
gynecologist,menopausal issues,2
gynecologist,menstrual irregularities,5
gynecologist,menstrual pain,5
gynecologist,missed period,5
gynecologist,missed periods,3
gynecologist,mtp,5
gynecologist,nipple bleeding,5
gynecologist,nipple discharge,4
gynecologist,not getting pregnant,5
gynecologist,ovarian cysts,5
gynecologist,painful periods,5
gynecologist,pcod,2
gynecologist,pcos,5
gynecologist,period,3.5
gynecologist,periods quiery,3.5
gynecologist,pregnancy,5
gynecologist,pregnancy bleeding,4
gynecologist,pregnancy issues,5
gynecologist,pregnancy query,4.5
gynecologist,pregnant,5
gynecologist,pregnency and delivery related issues,3.5
gynecologist,premenstrual problems,5
gynecologist,respiratory infection and pregnancy,5
gynecologist,vagina,5
gynecologist,vaginal bleeding,1.5
gynecologist,vaginal candidiasis,3
gynecologist,vaginal infection,5
gynecologist,vaginitis,5
gynecologist,vulval infection,5
gynecologist,wdpv,5
neurologist,coma,2
neurologist,delay in motor development,4
neurologist,difficult to speak,5
neurologist,difficulty in speaking,4
neurologist,difficulty in swallowing,4
neurologist,difficulty in talking,3
neurologist,fast speech,3.5
neurologist,gibberish,5
neurologist,lump in head,4
neurologist,odd voice,3
neurologist,paralyse,4.5
neurologist,paralysis,4
neurologist,problem in motor development,4.5
neurologist,speaking fast,5
neurologist,speaking very fast,4.5
neurologist,speech enhancement,3.75
neurologist,trembling hands,4.5
neurologist,unusual facial expression,4.5
neurologist,vertigo,3
oncologist,bleeding nipples,3
oncologist,blood in urine,3.5
oncologist,bloody saliva,2
oncologist,breast lump,1.5
oncologist,cancer,2.5
oncologist,lump in breast,5
oncologist,lump in chest,3.5
oncologist,lump in testicles,3.5
oncologist,tumour,4
opthamologist,blepharitis,1
opthamologist,blindness,5
opthamologist,blood from eyes,5
opthamologist,blood in eyes,5
opthamologist,blurred vision,5
opthamologist,brown colored round eye ball,5
opthamologist,bulging eyes,5
opthamologist,change in eye capacity,5
opthamologist,deteriorating ability to see colors with eyes,5
opthamologist,dilated pupil,5
opthamologist,diminished eyesight at night,2.5
opthamologist,discharge from eyes,5
opthamologist,double vision,5
opthamologist,dry eyes,5
opthamologist,dystopia,4
opthamologist,enlarged eye,5
opthamologist,eye injury,5
opthamologist,eye irritation,5
opthamologist,eyelids,5
opthamologist,eyes are bleeding,5
opthamologist,incapacitated eye,5
opthamologist,irritation in the eyes,4
opthamologist,itching in eyes,5
opthamologist,lack of vision,4
opthamologist,lump on eyelids,5
opthamologist,mucus in eyes,4.5
opthamologist,mucus in the eyes,5
opthamologist,night blindness,5
opthamologist,obscure spot,5
opthamologist,pain in eyes,5
opthamologist,partial loss of vision,3
opthamologist,pupil,5
opthamologist,red eye,2.5
opthamologist,red eyes,2
opthamologist,scurry,2
opthamologist,semolina,5
opthamologist,spot in eyes,5
opthamologist,sunken eyes,5
opthamologist,swelling in eye,3
opthamologist,swelling in eyes,5
opthamologist,swelling of eye,5
opthamologist,swelling of eyes,5
opthamologist,swollen eye,5
opthamologist,swollen eyes,5
opthamologist,ununiform pupil,5
opthamologist,wet eyes,4
orthopedic,ankle pain,2
orthopedic,arthritis,2.5
orthopedic,broke bones of jaw,4
orthopedic,broken ankle,4
orthopedic,broken bone of finger,5
orthopedic,broken bone of hip,5
orthopedic,broken bone of palm,4
orthopedic,broken bone of sternum,5
orthopedic,broken bone of wrist,4
orthopedic,broken bones of arm,5
orthopedic,broken bones of arms,5
orthopedic,broken bones of fingers,5
orthopedic,broken bones of head,5
orthopedic,broken bones of hip,3.5
orthopedic,broken bones of jaws,4
orthopedic,broken bones of palms,4
orthopedic,broken bones of sternum,5
orthopedic,broken chest bone,4
orthopedic,broken elbow,4
orthopedic,broken forerunner,5
orthopedic,broken hand,5
orthopedic,broken hands,4
orthopedic,broken hip,5
orthopedic,broken leg,2
orthopedic,broken rib,5
orthopedic,broken shin,4
orthopedic,broken shoulder,5
orthopedic,broken thigh,5
orthopedic,decrease in stiffness of thighs,4
orthopedic,difficulty in climbing stairs,4
orthopedic,difficulty in getting up from the chair,3
orthopedic,difficulty in moving elbow,3
orthopedic,difficulty picking up objects,4
orthopedic,difficulty running,4
orthopedic,difficulty walking,3
orthopedic,disordered arm,3
orthopedic,disordered finger,4
orthopedic,disordered hip,3
orthopedic,disordered palm,4
orthopedic,disordered thigh,3
orthopedic,disordered wrist,5
orthopedic,disordered wrists,3
orthopedic,hip bone,3.5
orthopedic,jaw block,4
orthopedic,joint pains,3
orthopedic,painful palms,3
orthopedic,swelling in bone,3.5
orthopedic,swelling in left leg,3
orthopedic,swelling in right leg,3.5
orthopedic,unable to bear load,3.5
orthopedic,unable to lift heavy,3
orthopedic,unable to move,3
orthopedic,unable to move elbow,3
orthopedic,unable to move fingers,3.5
parasitologist,germs,5
parasitologist,insects,2
pediatrician,baby,2
pediatrician,child,4.5
pulmonologist,asthama,3.5
pulmonologist,breathing trouble,4
pulmonologist,bulge in chest,4
pulmonologist,fast pulsation,2
pulmonologist,fast pulse,2.5
pulmonologist,hyperventilating,3
pulmonologist,hyperventilation,3
pulmonologist,irregular heartbeat,3
general physician,numbness,2.5
pulmonologist,rapid breathing,2
pulmonologist,rapid heart rate,3
pulmonologist,restlessness,1
pulmonologist,scrofula,2.5
pulmonologist,shortness of breath,4
pulmonologist,snoring,3.5
pulmonologist,suffocation,2
pulmonologist,trouble breathing,3.5
pulmonologist,wheezing,4
rheumatologist,bulge in bicep,4
rheumatologist,bulge in thigh,3.5
rheumatologist,bulge in tricep,3.5
rheumatologist,decrease in stiffness of fingers,3.5
rheumatologist,decrease in stiffness of wrist,1.5
rheumatologist,difficulty in climbing stairs,1.5
rheumatologist,difficulty in getting up from chair,2.5
rheumatologist,difficulty in running,2.5
rheumatologist,elbow joint pain,3
rheumatologist,inability to move hands,2.5
rheumatologist,joint instability,4
rheumatologist,joint pain,4
rheumatologist,joint pain in wrists,3.5
rheumatologist,joints are unable to move,1.5
rheumatologist,knee pain,5
rheumatologist,muscular pain in fingers,5
rheumatologist,muscular pain in neck,1.5
rheumatologist,osteoarthritis,4
rheumatologist,pain in arms,2
rheumatologist,pain in hip,1.5
rheumatologist,pain in my shoulder,1.5
rheumatologist,pain in the ankle,5
rheumatologist,pain in the knee,4
rheumatologist,pain in the knees,2.5
rheumatologist,pain in thigh,4
rheumatologist,rotator cuff injury,4
rheumatologist,spasms in thigh,3.5
rheumatologist,swelling in arms,3.5
rheumatologist,swelling in chest,2
rheumatologist,swelling in elbow,3.5
rheumatologist,swelling in shoulder,3.5
rheumatologist,swelling in thigh,3.5
rheumatologist,swelling of hip,4
rheumatologist,swelling of hips,3.5
rheumatologist,swelling of palms,3.5
rheumatologist,swelling of wrist,2
rheumatologist,swelling of wrists,2
rheumatologist,torn biceps,2
rheumatologist,torn triceps,4.5
rheumatologist,twisted nails,4.5
rheumatologist,unable to bear load,1.5
rheumatologist,weak fingers,1.5
rheumatologist,weak hands,1.5
rheumatologist,weakness of palms,1.5
sexologist,burning in private parts,1.5
sexologist,decrease in stiffness of penis,4
sexologist,delayed ejaculation,4
sexologist,dick,5
sexologist,early ejaculation,4
sexologist,ejaculation,3
sexologist,emergency contraception,5
sexologist,erectile dysfunction,5
sexologist,erection,5
sexologist,erection disorder,5
sexologist,excessive masturbation,5
sexologist,fear of sex,5
sexologist,hiv risk,4
sexologist,homosexuality,5
sexologist,itching in private parts,5
sexologist,lack of desire of sex,4
sexologist,loose vagina,2.5
sexologist,loss of erection,5
sexologist,pain in sex,3
sexologist,pain in the testicles,5
sexologist,parasites on private parts,3.5
sexologist,pearly penile papules,5
gynecologist,penetration,5
sexologist,penis,4
sexologist,premature ejaculation,4.5
sexologist,protection,5
sexologist,sex discharge,2.5
sexologist,sex life,5
sexologist,sex problem,3.5
sexologist,sex weakness,4.5
sexologist,sexual,4
sexologist,small size of penis,3
sexologist,sperm count,5
sexologist,swelling in groin,4
sexologist,swelling in private parts,4.5
sexologist,testicle,4.5
sexologist,tight foreskin of penis,4
sexologist,tight vagina,4
sexologist,unprotected sex,5
sexologist,unprotected vaginal sex,4
sexologist,vaginal odor,4.5
sexologist,vaginismus,4.5
sexologist,visible insects on private parts,5
sexologist,white discharge,5
urologist,beryllium urine,3
urologist,blood in urine,5
urologist,brown urine,4.5
urologist,burning urination,5
urologist,dark urine,4
urologist,decrease in urine,5
urologist,decreased urine,4.5
urologist,difficulty in urinating,4.5
urologist,difficulty urinating,5
urologist,frequent urination at night,5
urologist,red urine,5
urologist,sudden urination,4.5
urologist,urinary tract infection,4.5
urologist,urinating,5
urologist,urine infection,1.5
general physician,migrane,3
ent specialist,throat pain,1.5
ent specialist,pain in throat,1.25
urologist,urine,1.5
general physician,urine,3.5
ent specialist,throat,1
ent specialist,nose surgery,1.5
pulmonologist,breathlessness,1.25
pulmonologist,breathless,1
general physician,breathless,2.5
general physician,breathing problem,2.5
pulmonologist,breathing problem,1.25
cardiologist,chest pain,1
general physician,sore throat,4
general physician,pain in throat,4
general physician,watery stool,3.5
gastroentrologist,watery stool,1.25
general physician,low bp,3.5
cardiologist,low bp,1.2
general physician,pinworm,3.75
gastroentrologist,pinworm,1.25
dermatologist,dark circle,3.5
general physician,dark circle,1.2
general physician,cholesterol,3.5
cardiologist,cholesterol,1.2
neurologist,nerve block,1.5
neurologist,walking issue,2.5
dermatologist,pimple,3
general physician,cheek swelling,2
general physician,injuries,1
general physician,injury,1
general physician,cholestrol,3.5
cardiologist,cholestrol,1.2
general physician,pain,0.5
sexologist,foreskin,3
gastroentrologist,acidity,1
dermatologist,hair,1
dermatologist,skin problem,4
orthopedic,dislocation,3
dermatologist,dark legs,2
general physician,digestion problem,3
dermatologist,spot,1.5
dietician,weight gain,3.5
dietician,weight loss,3.5
dietician,weight,1
dermatologist,scar,1
sexologist,sperm problem,2
general physician,ring worm,3
general physician,tape worm,3
general physician,thread worm,3
general physician,ringworm,3
general physician,tapeworm,3
general physician,threadworm,3
dermatologist,patch,1
dietician,diet plan,2.5
urologist,testes,3.5
urologist,testis,3.5
dermatologist,pigmentation,2
dermatologist,dandruff,4
gynecologist,freedom kit,0.5
general physician,flukes,3
general physician,flatworm,3
general physician,flat worm,3
general physician,hookworm,3
general physician,hook worm,3
general physician,vomit,1.5
ent specialist,ear infection,1.5
general physician,liver problem,2
gynecologist,menstrual cycle,3.5
general physician,blood pressure,3.5
urologist,kidney,2
sexologist,sperm motility,2
dermatologist,scratch,0.5
dermatologist,red mark,1
cardiologist,heart problem,2
cardiologist,hole in heart,2
neurologist,cervical spine,3
ent specialist,hearing loss,2
ent specialist,hearing problem,2
urologist,night fall,1.5
urologist,prostate,1
dermatologist,black dot,1
diabetologist,sugar level,3
diabetologist,blood sugar,3
cardiologist,bleeeding of sternum,3.5
